Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256gb ssd,intel hd graphics 615,macOS,0.92kg,20227974.49728,1,other,1,Card onboard
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256gb ssd,intel iris plus graphics 640,macOS,1.37kg,24332375.37456,1,1,1,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,amd radeon r5 m430,Windows 10,2.2kg,11937453.264,1,2,1,Khác
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512gb ssd,amd radeon pro 560,macOS,1.83kg,19212089.2128,1,2,1,Khác
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1tb hdd,nvidia geforce 940mx,No OS,2.2kg,7995690.172800001,1,3,2,Card rời
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128gb ssd,intel uhd graphics 620,Windows 10,1.22kg,15686935.2288,1,1,1,Card onboard
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.5kg,16007403.7728,1,1,0,Card rời
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500gb hdd,amd radeon r2,No OS,1.86kg,4134044.2176,2,other,2,Khác
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.62kg,13123186.8768,1,1,1,Card onboard
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.91kg,10559438.524799999,1,2,1,Card onboard
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1tb hdd,intel hd graphics 520,Windows 10,2.3kg,6708047.563008001,1,3,2,Card onboard
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128gb flash storage,intel hd graphics 6000,Mac OS X,1.35kg,17609746.4928,1,1,0,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,amd radeon 530,Windows 10,2.2kg,12818741.76,1,1,1,Khác
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256gb ssd +  256gb ssd,intel uhd graphics 620,Windows 10,1.88kg,20798408.5056,1,2,1,Card onboard
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1tb hdd,nvidia geforce 930mx,Windows 10,2.5kg,14356990.7712,1,1,2,Card rời
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64gb flash storage,intel hd graphics,Windows 10,1.89kg,3925579.429728,1,other,0,Card onboard
Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32gb flash storage,amd radeon r2,Windows 10,1.65kg,3188662.0127999997,2,other,0,Khác
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500gb hdd,amd radeon 530,Windows 10,2.71kg,7034284.5408,2,other,2,Khác
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512gb ssd,intel uhd graphics 620,Windows 10,1.2kg,29947785.436800003,1,2,1,Card onboard
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256gb flash storage,intel hd graphics 6000,Mac OS X,1.35kg,15991380.345600002,1,1,0,Card onboard
Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64gb flash storage,intel hd graphics 500,Windows 10,1.44kg,3989833.3728,1,other,0,Card onboard
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1tb hdd,intel hd graphics 620,Linux,2.1kg,5880597.7824,1,3,2,Card onboard
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128gb ssd +  1tb hdd,amd radeon 530,Windows 10,2.8kg,15686935.2288,1,1,0,Khác
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,intel hd graphics 620,Windows 10,1.86kg,7830488.638368,1,1,2,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,nvidia geforce 930mx,Windows 10,2.1kg,14084592.508800002,1,1,1,Card rời
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,intel hd graphics 620,Linux,2kg,6233113.180799999,1,3,2,Card onboard
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,2.65kg,24019117.3728,1,2,0,Card rời
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,nvidia geforce 940mx,Linux,2.3kg,8380092.191328,1,1,2,Card rời
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256gb ssd,intel uhd graphics 620,Windows 10,2.2kg,10927977.3504,1,1,1,Card onboard
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1tb hdd,nvidia geforce 150mx,Windows 10,2.77kg,16007403.7728,1,1,2,Card rời
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256gb ssd,intel iris graphics 540,macOS,1.37kg,22737243.1968,1,1,1,Card onboard
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256gb ssd +  1tb hdd,amd radeon rx 580,Windows 10,3.2kg,20814431.932800002,2,other,0,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,amd radeon r5 m430,Windows 10,2.3kg,10238969.9808,1,1,1,Khác
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1tb hdd,nvidia geforce 920mx,Windows 10,2.8kg,7466917.0752,1,other,2,Card rời
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,nvidia geforce mx150,Windows 10,2.2kg,13475702.275200002,1,2,1,Card rời
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256gb ssd,amd radeon r4 graphics,Windows 10,1.86kg,6385175.504928,2,other,1,Khác
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512gb ssd,intel uhd graphics 620,Windows 10,1.49kg,17673840.2016,1,2,1,Card onboard
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1tb hdd,intel hd graphics 620,Windows 10,2.4kg,6152996.0448,1,3,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,amd radeon 520,Windows 10,2.13kg,12302787.40416,1,2,1,Khác
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128gb ssd,intel hd graphics 520,Windows 10,1.91kg,7034284.5408,1,3,1,Card onboard
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,intel hd graphics 620,Windows 10,2kg,9392772.790368,1,1,1,Card onboard
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  2tb hdd,nvidia geforce gtx 1070,Windows 10,2.43kg,39241373.2128,1,2,0,Card rời
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256gb ssd,intel hd graphics 520,Linux,2kg,6649722.288000001,1,3,1,Card onboard
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256gb ssd +  2tb hdd,amd radeon 530,Windows 10,2.8kg,20814431.932800002,1,2,0,Khác
Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.7kg,14084592.508800002,1,1,1,Card onboard
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,No OS,1.7kg,9598032.892800001,1,3,1,Card onboard
Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.4kg,15078044.9952,1,1,1,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.86kg,11056164.768,1,1,1,Card onboard
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512gb ssd,nvidia geforce gtx 1050 ti,Windows 10,1.8kg,31774456.1376,1,2,1,Card rời
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500gb hdd,amd radeon 520,Windows 10,1.86kg,7029317.278368001,1,3,2,Khác
HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32gb ssd,intel hd graphics 400,Windows 10,1.44kg,3669364.8288000003,1,other,1,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,intel hd graphics 620,Windows 10,1.9kg,8796861.5328,1,1,2,Card onboard
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1tb hdd,nvidia geforce gtx 1050 ti,Linux,3kg,15206232.412800001,1,2,2,Card rời
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128gb ssd,intel hd graphics 620,Windows 10 S,1.252kg,17449512.2208,1,1,1,Card onboard
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,64GB,256gb ssd,amd radeon 530,Windows 10,1.4kg,15302372.976000002,1,2,1,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,amd radeon 530,Windows 10,2.2kg,13940381.664,1,2,1,Khác
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.7kg,17545652.784,1,1,0,Card rời
Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1tb hdd,intel hd graphics 520,Windows 10,2.1kg,6233113.180799999,1,3,2,Card onboard
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,2.2kg,15206232.412800001,1,2,2,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2tb hdd,intel hd graphics 620,No OS,2.2kg,8316158.7168000005,1,1,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128gb ssd +  1tb hdd,intel uhd graphics 620,Windows 10,2.02kg,13700030.256000001,1,2,0,Card onboard
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1tb hdd,nvidia geforce mx130,Windows 10,2.2kg,8492416.416000001,1,3,2,Card rời
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce 930mx,Windows 10,2.5kg,15654888.3744,1,1,0,Card rời
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.88kg,17564239.959552,1,1,1,Card onboard
Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512gb ssd,intel hd graphics 615,macOS,0.92kg,24195375.072,1,1,1,Card onboard
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.63kg,13780147.392,1,1,1,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128gb ssd,amd r4 graphics,Windows 10,2.2kg,6393347.4528,2,other,1,Khác
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1tb hdd,amd radeon r5,Windows 10,2.1kg,6329253.744,2,other,2,Khác
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.65kg,21615603.2928,1,2,0,Card rời
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,nvidia geforce gtx 940mx,Windows 10,1.83kg,11200375.6128,1,2,1,Card rời
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.96kg,9597872.658528,1,1,1,Card onboard
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,2.2kg,23217946.0128,1,2,0,Card rời
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.21kg,26422631.452800002,1,2,1,Card onboard
Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,1tb hdd,amd radeon rx 560,Windows 10,2.45kg,11200375.6128,2,other,2,Khác
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,2GB,1tb hdd,nvidia geforce mx150,Windows 10,2.2kg,11040141.3408,1,2,2,Card rời
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512gb ssd,intel uhd graphics 620,Windows 10,1.49kg,19180042.358400002,1,2,1,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256gb ssd,nvidia geforce gtx 1060,Windows 10,2.65kg,19147995.504,1,1,1,Card rời
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.25kg,16808575.1328,1,2,1,Card onboard
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.5kg,13571842.8384,1,1,1,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1tb hdd,amd radeon r5 m430,Linux,2.2kg,9612453.97728,1,2,2,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256gb ssd,amd radeon r5 m430,Linux,2.2kg,7771362.192,1,3,1,Khác
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,256gb ssd,nvidia geforce 920m,Windows 10,2kg,9245517.4944,1,3,1,Card rời
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.62kg,20013260.5728,1,2,0,Card rời
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,amd radeon 530,Windows 10,1.91kg,11520844.1568,1,2,1,Khác
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,500gb hdd,amd radeon r2,Windows 10,2.1kg,5592176.092800001,2,other,2,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1tb hdd,amd radeon 520,Linux,2.2kg,10367157.398400001,1,1,2,Khác
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,nvidia geforce mx150,Windows 10,1.38kg,17930215.0368,1,2,1,Card rời
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10 S,1.252kg,21471392.448,1,1,1,Card onboard
HP,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256gb ssd,nvidia geforce 940mx,Windows 10,1.58kg,10559438.524799999,1,1,1,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,intel hd graphics 520,Windows 10,1.85kg,6648119.94528,1,3,2,Card onboard
Asus,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,nvidia geforce 940mx,Windows 10,1.3kg,19115948.6496,1,2,1,Card rời
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.2kg,20814431.932800002,1,2,0,Card rời
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.58kg,23714672.255999997,1,2,1,Card onboard
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce mx150,Windows 10,1.5kg,20221565.1264,1,2,0,Card rời
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8GB,256gb ssd,intel iris plus graphics 640,Windows 10,1.23kg,22096306.108799998,1,2,1,Card onboard
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.37kg,22416774.6528,1,1,1,Card onboard
HP,Notebook,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4GB,500gb hdd,intel uhd graphics 620,Windows 10,1.63kg,11568914.438400002,1,1,2,Card onboard
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.21kg,26102162.9088,1,1,1,Card onboard
HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512gb ssd,intel uhd graphics 620,Windows 10,1.63kg,17369395.0848,1,2,1,Card onboard
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd +  1tb hdd,nvidia geforce 940mx,Windows 10,2.16kg,18111760.466976,1,2,0,Card rời
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,nvidia geforce 920mx,Windows 10,2kg,9037212.9408,1,3,2,Card rời
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,nvidia geforce 940mx,Windows 10,1.7kg,17914191.6096,1,2,1,Card rời
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,1tb hdd,intel hd graphics 620,Windows 10,2.1kg,7675221.6288,1,3,2,Card onboard
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  2tb hdd,nvidia geforce gtx 1070,Windows 10,1.8kg,35916512.0688,1,2,0,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,nvidia geforce 940mx,No OS,2.2kg,10078735.708800001,1,1,1,Card rời
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512gb ssd,nvidia geforce 930mx,Windows 10,2.5kg,20365775.9712,1,2,1,Card rời
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,256gb ssd,amd radeon r5,Windows 10,2.1kg,7226565.6672,2,other,1,Khác
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1tb hdd,intel uhd graphics 620,Windows 10,1.63kg,13011022.886400001,1,1,2,Card onboard
Asus,Notebook,14,1366x768,AMD E-Series 6110 1.5GHz,4GB,64gb ssd,amd radeon r2,Windows 10 S,1.65kg,4454352.5273279995,2,other,1,Khác
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256gb ssd +  2tb hdd,amd radeon 530,Windows 10,2.8kg,22368704.371200003,1,2,0,Khác
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,2.5kg,14869740.441599999,1,1,1,Card onboard
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,amd radeon r7 m445,Windows 10,2.36kg,10238809.746528,1,1,2,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,amd radeon r5 m430,Windows 10,2.2kg,7194518.8128,1,3,2,Khác
Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.6kg,14164709.6448,1,2,1,Card onboard
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256gb ssd,nvidia geforce mx130,Windows 10,7.2kg,9165400.3584,1,3,1,Card rời
HP,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8GB,1tb hdd,intel hd graphics 620,Windows 10,2.05kg,9582009.4656,1,2,2,Card onboard
HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.63kg,15831146.0736,1,2,1,Card onboard
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1tb hdd,intel hd graphics 500,No OS,1.9kg,4043672.088192,1,other,2,Card onboard
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,3kg,15029974.7136,1,1,0,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,nvidia geforce 920mx,No OS,2.2kg,7995690.172800001,1,1,2,Card rời
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,intel hd graphics 620,Windows 10,1.32kg,11200375.6128,1,1,1,Card onboard
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1tb hdd,nvidia geforce mx130,Windows 10,3kg,10495344.816000002,1,3,2,Card rời
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,amd radeon rx 550,Windows 10,1.75kg,17882465.223744,1,1,1,Khác
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia geforce gtx 1050m,No OS,2.4kg,13924358.2368,1,2,1,Card rời
Toshiba,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,2.1kg,9646103.1744,1,1,2,Card onboard
HP,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4GB,256gb ssd,amd radeon r4 graphics,Windows 10,1.86kg,5912644.6368,2,other,1,Khác
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.25kg,17609746.4928,1,2,1,Card onboard
HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8GB,512gb ssd,intel hd graphics 515,Windows 10,0.97kg,32271182.3808,1,other,1,Card onboard
